               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12036,            0.034834,            0.047266,            0.002329,             0.34552,           0.0020365,          0.00043242,            0.094758,            0.021907,            0.039612,              0.0892,              0.0012,              0.0012
                   1,            0.088255,            0.036885,            0.043253,           0.0040415,             0.63432,            0.021721,           0.0050856,            0.058466,            0.021789,            0.033796,            0.077475,           0.0024753,           0.0024753
                   2,            0.074668,             0.03901,            0.041245,            0.092955,             0.18256,             0.10163,            0.029729,             0.04843,            0.019906,             0.03095,            0.065725,           0.0037248,           0.0037248
                   3,              0.0638,            0.035465,            0.040291,             0.31081,             0.20949,            0.086003,            0.027846,            0.047643,            0.019255,            0.030481,            0.053949,           0.0049485,           0.0049485
                   4,            0.061125,            0.031848,            0.038116,             0.65153,              0.2211,              0.1769,            0.051495,            0.047887,            0.017575,            0.029327,            0.042147,           0.0061466,           0.0061466
                   5,            0.061508,            0.028847,            0.036158,            0.089649,             0.40237,             0.13829,             0.05185,            0.060832,            0.013127,            0.026286,            0.030319,           0.0073188,           0.0073188
                   6,            0.062433,            0.027704,            0.035655,             0.64622,             0.18157,             0.16408,            0.075888,            0.054628,            0.011537,            0.025339,            0.018465,           0.0084654,           0.0084654
                   7,            0.058547,              0.0272,            0.034231,             0.50752,             0.33948,             0.35118,             0.13831,            0.044919,            0.011512,            0.024342,            0.009307,            0.009307,            0.009307
                   8,            0.057258,             0.02472,            0.031783,             0.63124,             0.34394,              0.3479,              0.1543,            0.051559,            0.010454,            0.021217,            0.009307,            0.009307,            0.009307
                   9,            0.056713,            0.023717,            0.029915,             0.45802,             0.48204,             0.45947,             0.18918,            0.038992,            0.010854,            0.020604,            0.009208,            0.009208,            0.009208
                  10,            0.052789,            0.023586,            0.027303,              0.4308,             0.41802,             0.35033,              0.1539,            0.046858,            0.010509,            0.017616,            0.009109,            0.009109,            0.009109
                  11,            0.054329,            0.022135,            0.027472,             0.60113,             0.57941,             0.60122,             0.27498,            0.040368,             0.01136,             0.01727,             0.00901,             0.00901,             0.00901
                  12,            0.053742,            0.020838,            0.024151,             0.54709,             0.48667,             0.48692,              0.2036,            0.042674,            0.010927,            0.020123,            0.008911,            0.008911,            0.008911
                  13,            0.050262,            0.021614,             0.02137,             0.61934,              0.6959,             0.69456,             0.29352,            0.037456,            0.010074,            0.014676,            0.008812,            0.008812,            0.008812
                  14,            0.050499,            0.022318,            0.021582,             0.59001,             0.64349,             0.60161,             0.24413,            0.039277,            0.010616,            0.015096,            0.008713,            0.008713,            0.008713
                  15,            0.047439,            0.020819,            0.018194,              0.6267,             0.73861,             0.72356,             0.35949,            0.035071,            0.010375,           0.0091021,            0.008614,            0.008614,            0.008614
                  16,             0.04724,            0.020394,            0.016596,             0.55974,             0.54138,             0.60965,             0.25821,             0.04443,           0.0099154,           0.0098605,            0.008515,            0.008515,            0.008515
                  17,            0.047294,            0.021015,            0.015001,             0.65712,             0.76683,              0.7416,             0.35509,            0.039792,            0.009673,           0.0070408,            0.008416,            0.008416,            0.008416
                  18,            0.046595,            0.021273,            0.015272,             0.67043,             0.89986,             0.76312,             0.36124,            0.035174,           0.0096885,           0.0049695,            0.008317,            0.008317,            0.008317
                  19,            0.044672,            0.020032,            0.013045,              0.6568,             0.87885,             0.80388,             0.39746,             0.03621,           0.0095859,           0.0046684,            0.008218,            0.008218,            0.008218
                  20,            0.044745,            0.021831,            0.012532,             0.60699,             0.89546,             0.79427,             0.39233,            0.035953,           0.0094541,           0.0059138,            0.008119,            0.008119,            0.008119
